config,benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,vc_hit_rate,mc_lookups,mc_hits,mc_hit_rate,sb_lookups,sb_hits,sb_hit_rate,sb_prefetches,ul2_d_accesses,ul2_i_accesses,ul2_total_accesses,source_csv
miss_mc4__dl1:16:32:1:l__ul2:16384:64:4:l,test-math,miss,0.0042,0.1340,1.0000,214193,1,,0,0,,7710,2313,0.3000,0,0,,0,9909,907,10816,results/ss/miss_mc4__dl1:16:32:1:l__ul2:16384:64:4:l/ss_miss.csv
victim_stream_vc2_d8__dl1:256:32:1:l__ul2:16384:64:4:l,test-fmath,victim_stream,0.0110,0.0347,1.0000,53949,1,,580,37,0.0638,0,0,,543,355,0.6538,1316,1772,592,2364,results/ss/victim_stream_vc2_d8__dl1:256:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc2_d8__dl1:256:32:1:l__ul2:16384:64:4:l,test-llong,victim_stream,0.0101,0.0457,1.0000,30132,1,,481,0,0.0000,0,0,,481,353,0.7339,896,1230,305,1535,results/ss/victim_stream_vc2_d8__dl1:256:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc2_d8__dl1:256:32:1:l__ul2:16384:64:4:l,test-lswlr,victim_stream,0.0270,0.0963,1.0000,9367,1,,461,0,0.0000,0,0,,461,350,0.7592,777,1080,253,1333,results/ss/victim_stream_vc2_d8__dl1:256:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc2_d8__dl1:256:32:1:l__ul2:16384:64:4:l,test-math,victim_stream,0.0042,0.0140,1.0000,214193,1,,806,0,0.0000,0,0,,806,402,0.4988,2828,3648,907,4555,results/ss/victim_stream_vc2_d8__dl1:256:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc2_d8__dl1:64:32:1:l__ul2:16384:64:4:l,test-fmath,victim_stream,0.0110,0.0468,1.0000,53949,1,,782,56,0.0716,0,0,,726,377,0.5193,2443,3367,592,3959,results/ss/victim_stream_vc2_d8__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc2_d8__dl1:64:32:1:l__ul2:16384:64:4:l,test-llong,victim_stream,0.0101,0.0518,1.0000,30132,1,,545,21,0.0385,0,0,,524,355,0.6775,1183,1781,305,2086,results/ss/victim_stream_vc2_d8__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc2_d8__dl1:64:32:1:l__ul2:16384:64:4:l,test-lswlr,victim_stream,0.0270,0.1016,1.0000,9367,1,,486,8,0.0165,0,0,,478,352,0.7364,882,1406,253,1659,results/ss/victim_stream_vc2_d8__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc2_d8__dl1:64:32:1:l__ul2:16384:64:4:l,test-math,victim_stream,0.0042,0.0353,1.0000,214193,1,,2032,95,0.0468,0,0,,1937,506,0.2612,10017,12775,907,13682,results/ss/victim_stream_vc2_d8__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
baseline__dl1:64:32:1:l__ul2:32768:64:4:l,test-fmath,baseline,0.0110,0.0468,1.0000,53949,1,,0,0,,0,0,,0,0,,0,1357,592,1949,results/ss/baseline__dl1:64:32:1:l__ul2:32768:64:4:l/ss_baseline.csv
baseline__dl1:64:32:1:l__ul2:32768:64:4:l,test-llong,baseline,0.0101,0.0518,1.0000,30132,1,,0,0,,0,0,,0,0,,0,974,305,1279,results/ss/baseline__dl1:64:32:1:l__ul2:32768:64:4:l/ss_baseline.csv
