mode,benchmark,dl1_bytes,ul2_bytes,sb_lookups,ul2_demand,sb_hit_rate
victim_stream,test-math,2048,2097152,1709,12178.0,0.2727
victim_stream,test-fmath,32768,8388608,471,2112.0,0.7983
victim_stream,test-llong,32768,8388608,440,1393.0,0.8455
victim_stream,test-lswlr,32768,8388608,435,1277.0,0.8529
victim_stream,test-math,32768,8388608,544,3254.0,0.7316
victim_stream,test-fmath,32768,8388608,471,2112.0,0.7983
victim_stream,test-llong,32768,8388608,440,1393.0,0.8455
victim_stream,test-lswlr,32768,8388608,435,1277.0,0.8529
victim_stream,test-math,32768,8388608,544,3254.0,0.7316
victim_stream,test-fmath,512,2097152,1543,17868.0,0.3461
victim_stream,test-llong,512,2097152,626,4330.0,0.6518
victim_stream,test-lswlr,512,2097152,507,2767.0,0.7475
victim_stream,test-math,512,2097152,6153,83067.0,0.2113
victim_stream,test-fmath,512,2097152,1543,17868.0,0.3461
victim_stream,test-llong,512,2097152,626,4330.0,0.6518
victim_stream,test-lswlr,512,2097152,507,2767.0,0.7475
victim_stream,test-math,512,2097152,6153,83067.0,0.2113
miss_stream,test-fmath,32768,16777216,471,1138.0,0.4204
miss_stream,test-llong,32768,16777216,440,789.0,0.45
miss_stream,test-lswlr,32768,16777216,435,725.0,0.4575
miss_stream,test-math,32768,16777216,544,1586.0,0.386
miss_stream,test-fmath,2048,16777216,695,3711.0,0.5424
miss_stream,test-llong,2048,16777216,512,1990.0,0.6934
miss_stream,test-lswlr,2048,16777216,474,1627.0,0.7426
miss_stream,test-math,2048,16777216,1915,13506.0,0.2642
victim_stream,test-fmath,2048,4194304,686,3671.0,0.5437
victim_stream,test-llong,2048,4194304,515,2038.0,0.6835
victim_stream,test-lswlr,2048,4194304,475,1643.0,0.7389
victim_stream,test-math,2048,4194304,1709,12178.0,0.2727
victim_stream,test-fmath,32768,2097152,471,1288.0,0.6306
victim_stream,test-llong,32768,2097152,440,873.0,0.6773
victim_stream,test-lswlr,32768,2097152,435,805.0,0.6828
victim_stream,test-math,32768,2097152,544,1830.0,0.5809
victim_stream,test-fmath,32768,2097152,471,1288.0,0.6306
victim_stream,test-llong,32768,2097152,440,873.0,0.6773
victim_stream,test-lswlr,32768,2097152,435,805.0,0.6828
victim_stream,test-math,32768,2097152,544,1830.0,0.5809
victim_stream,test-fmath,512,4194304,1664,11244.0,0.2849
victim_stream,test-llong,512,4194304,637,2882.0,0.5997
victim_stream,test-lswlr,512,4194304,516,2015.0,0.686
victim_stream,test-math,512,4194304,6748,50035.0,0.1735
victim_stream,test-fmath,2048,2097152,702,5999.0,0.5698
victim_stream,test-llong,2048,2097152,519,2926.0,0.736
victim_stream,test-lswlr,2048,2097152,477,2251.0,0.7904
victim_stream,test-math,2048,2097152,1803,23018.0,0.2795
victim_stream,test-fmath,2048,2097152,702,5999.0,0.5698
victim_stream,test-llong,2048,2097152,519,2926.0,0.736
victim_stream,test-lswlr,2048,2097152,477,2251.0,0.7904
